Title,rKTsNumber,Title with diacritics,Author name (not needed for works with rKTs ID),Author RID (idem),BDRC Topic ID (idem),URL,Hyperlink-ID,Input by,Based on,Version Notes (if any)
Asanga: Sarirarthagatha of the Cintamayibhumi,,Śarīrārthagāthā,Asaṅga,P6117,,gretil/1_sanskr/6_sastra/3_phil/buddh/asycsaru.htm,#AsYogCintSarir,Klaus Wille,"the edition: Fumio Enomoto, ""Śarīrārthagāthā, A Collection of Canonical Verses in the Yogācārabhūmi, Part 1: Text"", Sanskrit-Texte aus dem buddhistischen Kanon: Neuentdeckungen und Neueditionen[, Erste Folge], Göttingen 1989 (Sanskrit-Wörterbuch der buddhistischen Texte aus den Turfan-Funden, Beiheft 2), pp. 17-35.",
Asokavadana [= Avadana 29 of the Divyavadana],,Aśokāvadāna,,,,gretil/1_sanskr/4_rellit/buddh/divav29u.htm,#DSBC_Sa056,members of the Sanskrit Buddhist Input Project,"the edition by Sujitkumar Mukhopadhyaya: The Aśokāvadāna.  New Delhi : Sahitya Akademi, 1963.",
"Astadasasahasrika Prajnaparamita, Parivartas 55 - 70 (first part)",K10,Aṣṭādaśasāhasrikā Prajñāpāramitā,,,,gretil/1_sanskr/4_rellit/buddh/adsp55-u.htm,#AstadasPp,"Klaus Wille (Göttingen, Germany)","the edition by Edward Conze: The Gilgit Manucript of the Aṣṭādaśasāhasrikāprajñāpāramitā,  Chapters 55 to 70, Corresponding to the 5th Abhisamaya. Roma 1962 (Serie Orientale Roma, 26). = AdSPG I and Edward Conze: The Gilgit Manuscript of the Aṣṭādaśasāhasrikāprajñāpāramitā, Chapters 70 to 82, Corresponding to the 6th, 7th and 8th Abhisamayas. Roma 1974 (Serie Orientale Roma, 46). = AdSPG II",Parivartas 55 - 70
"Astadasasahasrika Prajnaparamita, Parivartas 70 (contd.) - 82",K10,Aṣṭādaśasāhasrikā Prajñāpāramitā,,,,gretil/1_sanskr/4_rellit/buddh/adsp70-u.htm,#AstadasPp,"Klaus Wille (Göttingen, Germany)","the edition by Edward Conze: The Gilgit manuscript of the Aṣṭādaśasāhasrikāprajñāpāramitā, chapters 70 to 82, corresponding to the 6th, 7th and 8th Abhisamayas. Roma 1974 (Serie Orientale Roma, 46) = AdSPG II",Parivartas 70 (contd.) - 82
Astasahasrika Prajnaparamita,K12,Aṣṭasāhasrikā Prajñāpāramitā,,,,gretil/1_sanskr/4_rellit/buddh/bsu049_u.htm,#DSBC_Su049,members of the Sanskrit Buddhist Input Project,"the edition by P.L. Vaidya, Darbhanga : The Mithila Institute, 1960 (Buddhist Sanskrit Texts, 4).",
Avadanasataka,K343,Avadānaśataka,,,,gretil/1_sanskr/4_rellit/buddh/avsata_u.htm,#Avsat,Klaus Wille (completed 27. April 2001; last corrections October 2005),"the following editions: - Ed. P.L. Vaidya, Darbhanga 1958 (Buddhist Sanskrit Texts ; 19) - Ed. J.S. Speyer, St. Petersbourg, 2 vols., 1906-1909 (Bibliotheca Buddhica ; 3)",
Ayuhparyantasutra,K307,Āyuḥparyanta sūtra,,,,gretil/1_sanskr/4_rellit/buddh/ayuhparu.htm,#Ayuhpar,Klaus Wille,"the ed. by H. Matsumura: Ayuhparyantasutra, Das Sutra von der Lebensdauer in den verschiedenen Welten, Göttingen 1989 (Sanskrit-Texte aus dem buddhistischen Kanon: Neuentdeckungen und Neueditionen, Erste Folge; SWTF, Beiheft 2), pp. 69-100.  and Gilgit Buddhist Manuscripts (Facsimile Edition), ed. by Raghu Vira and Lokesh Chandra, 10 pts., New Delhi 1959-1974 (Śata-Piṭaka Series, 10); revised and enlarged compact edition in 3 pts., Delhi 1995 (Bibliotheca Indo-Buddhica Series, 150-152).",
Bhaisajyaguruvaiduryaprabharajasutra,K503,Bhaiṣajyaguruvaidūryaprabharāja sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu012_u.htm,#DSBC_Su012,members of the Sanskrit Buddhist Input Project,"the ed. by P.L. Vaidya in: Mahayana-sutra-samgrahah, Part 1. Darbhanga: The Mithila Institute 1961 (Buddhist Sanskrit Texts, 17)",
Bhaisajyavastu of the Vinayavastvagama [Vastu 6],K1-6,Bhaiṣajyavastu,,,,gretil/1_sanskr/4_rellit/buddh/vinv_06u.htm,#Vinv06,Klaus Wille (Göttingen),"the edition by N. Dutt. Gilgit Manuscript, vol. 1-4, Calcutta, Srinagar 1939-1959.",
Bhavasankrantisutra,K226,Bhavasaṅkrānti sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu010_u.htm,#DSBC_Su010,members of the Sanskrit Buddhist Input Project,"the edition by N. Aiyaswami Shastri: Bhavasaṅkrānti Sūtra. Madras: Adyar Library, 1938, pp. 1-6.",
Bhiksuni-Karmavacana,,Bhikṣuṇī Karmavācanā,,,,gretil/1_sanskr/4_rellit/buddh/bhikavau.htm,#BhiksuniKv,Michael Schmidt,"the ed. Michael Schmidt: Bhikṣuṇī-Karmavācanā: Die Handschrift Sansk. c. 25 (R) der Bodleian Library Oxford. In: Studien zur Indologie und Buddhismuskunde, Festgabe für Professor Dr. Heinz Bechert zum 60. Geburtstag am 26. Juni 1992, hg. R. Grünendahl, J.-U. Hartmann, P. Kieffer-Pülz, Bonn 1993 (Indica et Tibetica, 22), pp. 239-288.",
Bhiksunivinaya,K5,Bhikṣuṇī Vinaya,,,,gretil/1_sanskr/4_rellit/buddh/bhivin_u.htm,#BhiksuniVin,members of the Digital Sanskrit Buddhist Canon Input Project,"the edition by Gustav Roth: Bhikṣuṇī Vinaya,  Patna: K.P. Jayaswal Research Institute 1970 (Tibetan Sanskrit Works Series, 12)",
Bodhisattvapratimoksasutra,K248,Bodhisattvaprātimokṣa sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu011_u.htm,#DSBC_Su011,members of the Sanskrit Buddhist Input Project,"the edition by Nalinaksa Dutt: Bodhisattva-prātimokṣa-sūtram. Calcutta : Calcutta Oriental Press, 1931, p 11-19.",
Buddhabaladhanapratiharyavikurvananirdesanama Mahayanasutram,K186,Āryabuddhabalādhānaprātihāryavikurvāṇanirdeśa nāma Mahāyāna Sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu008_u.htm,#DSBC_Su008,members of the Sanskrit Buddhist Input Project,"the edition by N. Dutt: Gilgit Manuscripts, Vol IV.  Delhi : Sri Satguru Publications, 1984, 173-183.",
Buddhaghosa: Siddharthacaritrakavya,,Siddhārthacaritra Kāvya,Buddhaghoṣa,P0ER0002,,gretil/1_sanskr/4_rellit/buddh/bghsic_u.htm,#Bgho_Sic,members of the Digital Sanskrit Buddhist Canon Input Project,unknown source,
"BUDDHIST STOTRAS, I",,Anaparāddhastotra,Mātṛceṭa,P0ER0003,,gretil/1_sanskr/4_rellit/buddh/busto1_u.htm,#BuSto1,Jens-Uwe Hartmann (August 2002),<not_specified>,
108 Buddhist stotras,,Buddhist Stotras,,,,gretil/1_sanskr/4_rellit/buddh/bst-108u.htm,#DSBC_Sto_1-108,members of the Sanskrit Buddhist Canon Input Project. Digital Sanskrit Buddhist Canon,"the ed. by Janardan Shastri Pandey: Bauddha stotra Samgrahah, Varanasi : Motilal Banarsidass, 1994",
Buddhist Yoga manual,,Buddhist Yoga Manual@en,,,,gretil/1_sanskr/4_rellit/buddh/byogalbu.htm,#BuYogaLb,"Klaus Wille (Göttingen, Germany)","the edition by Dieter Schlingloff: Ein buddhistisches Yogalehrbuch. Berlin 1964 (Sanskrittexte aus den Turfanfunden, 7). - ders., Ein buddhistisches Yogalehrbuch. Tafelband. Berlin 1966 (Sanskrittexte aus den Turfanfunden, 7a). = YL [Cf. D. Schlingloff: Ein buddhistisches Yogalehrbuch. Unveränderter Nachdruck der Ausgabe von 1964  unter Beigabe aller seither bekannt gewordenen Fragmente,  hg. J.-U. Hartmann und H.-J. Röllicke. München 2006 (Buddhismus-Studien, 5).]",
Candragomin: Sisyalekha,T3521,Śiṣyalekha,Candragomin,P7599,,gretil/1_sanskr/4_rellit/buddh/cansisyu.htm,#CandgSisyal,members of the Sanskrit Buddhist Input Project,"the ed. by I. Minaev: ""Poslanie k uceniku"", in: Zapiski Vostocnago Otdelenija Russkago Archeologiceskago Obscestva, 4 (1889), pp. 29-52.",
Carmavastu of the Vinayavstvagama of the Mulasarvastivadin,K1-5,Carmavastu,,,,gretil/1_sanskr/4_rellit/buddh/vinv05_u.htm,#Vinv05,"Klaus Wille (Göttingen, Germany)","the edition by N. Dutt, Gilgit Manuscript, vol. III: Mūlasarvāstivādavinayavastu, part IV (Calcutta 1950), pp. 159-210: Carmavastu (second edition: Delhi 1984).",
Civaravastu of the Vinayavastvagama of the Mulasarvastivadin,K1-7,Cīvaravastu,,,,gretil/1_sanskr/4_rellit/buddh/vinv07_u.htm,#Vinv07,"Klaus Wille, Göttingen","the edition by N. Dutt: Gilgit Manuscript, vol. III: Mūlasarvāstivādavinayavastu, Part 2 (Srinagar 1942), pp. 1-148: Cīvaravastu (second edition: Delhi 1984).",
Dasabalasutra 1-4,,Daśabala sūtra,,,,gretil/1_sanskr/4_rellit/buddh/dbsu1-4u.htm,#Dasabalasut,Klaus Wille (Göttingen),"the ed. by Ernst Waldschmidt. In: Bruchstücke buddhistischer Sūtras aus dem zentralasiatischen Sanskritkanon I, Leipzig 1932 (Kleinere Sanskrit-Texte, 4; Nachdruck: Monographien zur indischen Archäologie, Kunst und Philologie, 2. Wiesbaden, Stuttgart 1979), pp. 207-225; and Ernst Waldschmidt, ""Ein zweites Daśabalasūtra"", Mitteilungen des Instituts für Orientforschung 6 (1958), pp. 382-387, 397-403 [Nachdruck: Ernst Waldschmidt. Von Ceylon bis Turfan, Schriften zur Geschichte, Literatur, Religion und Kunst des indischen Kulturraumes (Festgabe zum 70. Geburtstag). Göttingen 1967, pp. 347-352, 362-368].",
Dasabhumikasutram,K857,Daśabhūmika sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu014_u.htm,#DSBC_Su014,members of the Sanskrit Buddhist Input Project,"the edition by P.L. Vaidya, Daśabhūmikasūtram.  Darbhanga: The Mithila Institute, 1967.",
"Dasasahasrika Prajnaparamita, chapter 1 and 2 translated from the Tibetan",K11,Daśasāhasrikā Prajñāpāramitā,,,,gretil/1_sanskr/4_rellit/buddh/dsp1-2_u.htm,#DSP1-2,Klaus Wille,"the ed. by Sten Konow: The Two First Chapters of the Daśasāhasrikā Prajñāpāramitā. Restoration of the Sanskrit Text, Analysis and Index. Oslo : 1941 (Avhandlinger utgitt av det Norske Videnskaps-Akademi i Oslo II. Hist.-Filos. klasse 1941, no.1).",
Devatasutra,K329,Devatā sūtra,,,,gretil/1_sanskr/4_rellit/buddh/dvtasutu.htm,#Dvtasut,Klaus Wille (Göttingen),"the ed. by Adelheid Mette: ""Zwei kleine Fragmente aus Gilgit"",  Studien zur Indologie und Iranistik 7 (1981), pp. 133-151.",
Davuldena Jnanesvara Mahasthavira: Yasodharacarita,,Yaśodharācarita,Davuldeṇa Jñāneśvara Mahāsthavira,P0ER0004,,gretil/1_sanskr/4_rellit/buddh/davyasou.htm,#DavYaso,members of the Sanskrit Buddhist Input Project,"the ed. Bhikkhu Pāsādika and Bhikkhu Tampalawela Dhammaratana: Contemporary Sri Lankan Sanskrit Poetry: The Yaśodharācaritam by Davuldeṇa Jñāneśvara Mahāsthavira. Bulletin d'etudes indienne 21.1 (2003), pp. 47-70.",
Patna Dharmapada,,Patna Dharmapada,,,,gretil/1_sanskr/4_rellit/buddh/dhppat_u.htm,#PDharmp,Tatsushi Tamai,"the ed. by Margaret Cone: ""Patna Dharmapada, Part I: Text"", JPTS 13 (1989), pp. 101-217.",
Dharmaskandha,K245,Dharmaskandha,,,,gretil/1_sanskr/4_rellit/buddh/dhrmsk_u.htm,#Dhrmsk,Klaus Wille,"the ed. by Siglinde Dietz: Fragmente des Dharmaskandha -  Ein Abhidharma-Text in Sanskrit aus Gilgit. Göttingen 1984 (Abhandlungen der Akademie der Wissenschaften in Göttingen, 142) = DhskD: fols. 3-20, 26, and Kazunobu Matsuda: ""Newly Identified Sanskrit Fragments of the Dharmaskandha in the Gilgit manuscripts"" (1), Sanskrit Fragments Transliterated, with an Appendix by Hajime Sakurabe, Kyoto 1986. GBM 151-156; DhskM = fols. 21, 22, 27 Ed. also in: K. Sankarnarayan, K. Matsuda, M. Yoritomi: Lokaprajñapti, A Critical Exposition of Buddhist Cosmology,  Mumbai/New Delhi 2002. pp. 15-24.",
Dhvajagrakeyura-Dharani,,Dhvajāgrakeyurā dhāraṇī,,,,gretil/1_sanskr/4_rellit/buddh/dhvajkdu.htm,#DhvajkeDh2,Klaus Wille,"the edition by Paolo Giunta. ""The Āryadhvajāgrakeyūrā nāma dhāriṇī -  Diplomatic Edition of MS Tucci 3.2.16, Sanskrit Texts from Giuseppe Tucci's Collection, Part I, ed. Francesco Sferra, Roma 2008 (Manuscripta Buddhica, 1), pp. 187-194.",
Dhvajagrakeyura-Dharani,,Dhvajāgrakeyurā dhāraṇī,,,,gretil/1_sanskr/4_rellit/buddh/dhvajkeu.htm,#DhvajkeDh,members of the Digital Sanskrit Buddhist Canon Input Project Member,<not_specified>,
Dipamkarabhadra: Guhyasamajamandalavidhi,T662,Guhyasamājamaṇḍalavidhi,Dīpaṃkarabhadra,P4CZ15260,,gretil/1_sanskr/4_rellit/buddh/dipguhsu.htm,#DipGuhs,"S. Klein-Schwind, proof-read and revised by: H. Isaacson","MS Niedersäsche Staats- und Universitätsbibliothek Göttingen, Cod. ms. sanscr. 257 Additional References: Dhīḥ 42 (2006:109-154) Copyright: S. Klein-Schwind 2008",
Divyavadana,,Divyāvadāna,,,,gretil/1_sanskr/4_rellit/buddh/divyav_u.htm,#Divyav,"Kensuke Okamoto, Ryukoku University","the edition by L. Vaidya, Mithila 1959 (Buddhist Sanskrit Texts ; 20) (For details see the Japanese preface of the original download file.)",
"Dvavimsatyavadanakatha, transliteration",,Dvāviṃśatyavadānakathā,,,,gretil/1_sanskr/4_rellit/buddh/dvavims_tu.htm,#Dvavims,Klaus Wille,Mamiko Okada: Dvāviṃśatyavadānakathā. Ein mittelalterlicher buddhistische Text zur Spendenfrömmigkeit (Indica et Tibetica 24). Bonn : 1993,Transliteration (extended markup)
"Dvavimsatyavadanakatha, plain text",,Dvāviṃśatyavadānakathā,,,,gretil/1_sanskr/4_rellit/buddh/dvavims_pu.htm,#Dvavims,Klaus Wille,Mamiko Okada: Dvāviṃśatyavadānakathā. Ein mittelalterlicher buddhistische Text zur Spendenfrömmigkeit (Indica et Tibetica 24). Bonn : 1993,Plain text
Ekadasamukhahrdayam,,Ekadaśamukhahṛdaya,,,,gretil/1_sanskr/4_rellit/buddh/ekmuhr_u.htm,#Ekmuhr,Somadeva Vasudeva,"Nalinaksha Dutt: Giglit Manuscripts, Vol. 1, pp. 35--40 Srinagar 1939. (Kashmir Series of Texts and Studies, 71,1)",
Ekadasamukham,,Ekādaśamukha,,,,gretil/1_sanskr/4_rellit/buddh/bsu015_u.htm,#DSBC_Su015,members of the Sanskrit Buddhist Input Project,"the edition by N. Dutt: Gilgit Manuscript, vol. I, Delhi : Sri Satguru Publication, 1984, 33-40.",
Ekottaragama,,Ekottarāgama,,,,gretil/1_sanskr/4_rellit/buddh/ekottaru.htm,#Ekottaragama,Klaus Wille,"the ed. by Chandra Bhal Tripathi: Ekottarāgama-Fragmente der Gilgit-Handschrift, Reinbek 1995  (Studien zur Indologie und Iranistik, Monographie 2).",
Ganapatihrdaya-Dharani,K659,Gaṇapatihṛdaya,,,,gretil/1_sanskr/4_rellit/buddh/ganphrdu.htm,#GanphrdDhar,Klaus Wille (Göttingen),"the edition by Yutaka Iwamoto: Kleinere Dhāraṇī Texte, Kyoto 1937 (Beiträge zur Indologie, 2), pp. 10-12.",
Gandavyuhasutra,K110,Gaṇḍavyūha sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu016_u.htm,#DSBC_Su016,members of the Sanskrit Buddhist Input Project,"the edition by P.L. Vaidya. Gaṇḍavyūhasūtram, Darbhanga: The Mithila Institute, 1960 (Buddhist Sanskrit Texts No. 5).",
Gopadatta: Jatakamala,T3488,Jātakamālā,Gopadatta,P0ER0029,,gretil/1_sanskr/4_rellit/buddh/gopjatmu.htm,#GopJm,"Michael Hahn, proofread by Klaus Wille","the edition by Michael Hahn. ""Ajātaśatrvavadāna: A Gopadatta Story from Tibet"", K.P. Jayaswal Commemoration Volume, Patna 1981, pp. 242-276.",
Grahamatrkanamadharani,"K654, K655",Grahamātṛkā nāma dhāraṇī,,,,gretil/1_sanskr/4_rellit/buddh/grahmdhu.htm,#GrahmDha,Klaus Wille (Göttingen),"the edition: Āryagrahamātṛkā nāma dhāraṇī, Dhīḥ 39 (2005), pp. 169-176. = Gmdh",
Gunakarandavyuhasutra,,Guṇakāraṇḍavyūha sūtra,,,,gretil/1_sanskr/4_rellit/buddh/bsu062_u.htm,#DSBC_Su062,members of the Sanskrit Buddhist Input Project,"the edition by Lokesh Chandra: Guṇakāraṇḍavyūhasūtram. New Delhi: International Academy of Indian Culture, 1999.",
Vinayasutra,,Vinaya sūtra,,,,gretil/1_sanskr/4_rellit/buddh/vinsutru.htm,#VinaySu,Yoshiyasu Yonezawa et al.,<not_specified>,
